City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Mataura,NZ,2021-01-26 00:12:59,-46.1927,168.8643,80.01,47,97,21.99
1,Cape Town,ZA,2021-01-26 00:12:04,-33.9258,18.4232,68.0,88,0,17.27
2,Yellowknife,CA,2021-01-26 00:12:59,62.456,-114.3525,-20.0,69,75,9.22
3,Saint-Philippe,RE,2021-01-26 00:12:59,-21.3585,55.7679,77.0,73,0,6.91
4,Khatanga,RU,2021-01-26 00:12:59,71.9667,102.5,-18.96,87,100,8.99
5,Grindavik,IS,2021-01-26 00:12:59,63.8424,-22.4338,28.4,54,75,28.77
6,Coihaique,CL,2021-01-26 00:12:59,-45.5752,-72.0662,50.0,53,75,9.22
7,Bani Walid,LY,2021-01-26 00:13:00,31.7566,13.9942,58.78,41,60,10.6
8,Saskylakh,RU,2021-01-26 00:13:00,71.9167,114.0833,-33.41,82,20,4.38
9,Concepcion Del Uruguay,AR,2021-01-26 00:13:00,-32.4825,-58.2372,87.01,41,0,1.99
10,Yuzhnouralsk,RU,2021-01-26 00:13:00,54.4418,61.2536,22.35,96,11,8.55
11,Komsomolskiy,UZ,2021-01-26 00:13:00,40.4272,71.7189,26.6,68,30,4.61
12,Albany,US,2021-01-26 00:11:49,42.6001,-73.9662,26.01,60,59,1.63
13,Bredasdorp,ZA,2021-01-26 00:11:51,-34.5322,20.0403,60.8,94,2,4.61
14,Mar Del Plata,AR,2021-01-26 00:13:00,-38.0023,-57.5575,80.01,78,20,11.5
15,Tiksi,RU,2021-01-26 00:13:01,71.6872,128.8694,-40.38,80,96,6.73
16,Hithadhoo,MV,2021-01-26 00:11:55,-0.6,73.0833,81.32,73,99,5.35
17,Hasaki,JP,2021-01-26 00:13:01,35.7333,140.8333,41.0,93,20,8.05
18,Lethem,GY,2021-01-26 00:13:01,3.3803,-59.7968,80.96,57,95,9.6
19,Busselton,AU,2021-01-26 00:13:01,-33.65,115.3333,68.0,70,47,3.0
20,Skara,SE,2021-01-26 00:13:01,58.3866,13.4384,28.99,80,90,6.91
21,Sheltozero,RU,2021-01-26 00:13:01,61.3667,35.3667,34.11,97,100,6.04
22,Pisco,PE,2021-01-26 00:13:02,-13.7,-76.2167,71.6,73,0,21.85
23,Chuy,UY,2021-01-26 00:12:08,-33.6971,-53.4616,74.01,85,3,10.38
24,Hualmay,PE,2021-01-26 00:13:02,-11.0964,-77.6139,72.52,74,93,7.36
25,Qaanaaq,GL,2021-01-26 00:11:53,77.484,-69.3632,6.48,63,0,7.25
26,Punta Arenas,CL,2021-01-26 00:11:46,-53.15,-70.9167,46.4,49,20,29.93
27,La Romana,DO,2021-01-26 00:13:02,18.4273,-68.9728,73.4,88,20,11.5
28,Slave Lake,CA,2021-01-26 00:13:02,55.2834,-114.769,-0.4,71,75,13.8
29,Hilo,US,2021-01-26 00:13:03,19.7297,-155.09,77.0,73,90,9.22
30,Kudahuvadhoo,MV,2021-01-26 00:13:03,2.6708,72.8944,81.14,79,100,15.21
31,Byron Bay,AU,2021-01-26 00:13:03,-28.65,153.6167,81.0,61,40,9.22
32,Norman Wells,CA,2021-01-26 00:13:03,65.282,-126.8329,-11.2,77,75,4.61
33,Avarua,CK,2021-01-26 00:13:03,-21.2078,-159.775,86.0,70,40,14.97
